gene,seqname,Single_copy.Broc_Anan_Tilla.,Low_copy.Broc_Anan_Tilla.,High_copy.Broc_Anan_Tilla.,Diff_expressed_CAMC3,pos_selection_CAM_shifts,gene_families_CAMC3,Angiosperm_gene,CAM-related_Acomosus_Ming2015,stomata_func,aquaporin_reg,draught_res,markers,anthocyanin_SI_Ananas,circadian_metabolism_Wai2017,malateTransferase_Assimilation_Carbohydrates,fllavonoid_anthocyanin_Pitcairnia_PS,pos_sel_portullugo,glucogenesis_glycolysis,circadian_clock,type,average_exon_size,nr_exons_per_gene,total_exonic_size,min_exon_size
Aco004853,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,582.5,2,1165,264
Aco004854,LG07,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,246.5,4,986,33
Aco004855,LG07,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,191,8,1528,74
Aco004857,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,491.3333333,3,1474,269
Aco004859,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1913,1,1913,1913
Aco004860,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1217,1,1217,1217
Aco004861,LG07,no,yes,no,NA,yes,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,1442,1,1442,1442
Aco004864,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1232.5,2,2465,757
Aco004888,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1078,2,2156,1073
Aco004899,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,385,3,1155,199
Aco004902,LG07,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,11_Glycolysis_night_C4_malate_pathway,171.25,8,1370,65
Aco004919,LG07,no,no,yes,NA,yes,NA,6527,,,,,,,,,NA,NA,,,NA,258.047619,21,5419,54
Aco004920,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,369.6666667,3,1109,172
Aco004926,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,539.4,5,2697,211
Aco004930,LG07,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,98.86666667,15,1483,50
Aco004946,LG07,yes,no,no,NA,NA,yes,6492,,,,,,,,,NA,NA,,,NA,161.1111111,9,1450,69
Aco004947,LG07,no,no,yes,NA,NA,NA,NA,,,,,,,yes,,NA,NA,,,00_#W_StomatalMovement_RootPhototropism2,662.5,4,2650,69
Aco004960,LG07,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,PREDICTED: Beta vulgaris subsp. vulgaris protein DETOXIFICATION 33 (LOC104898970)_ mRNA,,,NA,209.2,10,2092,56
Aco004989,LG07,yes,no,no,NA,NA,NA,5355,,,,,,,,,NA,NA,,,NA,485,3,1455,298
Aco004996,LG07,no,yes,no,NA,NA,NA,NA,yes,,,,,,,,NA,NA,,,00_#29_Malate_dehydrogenase,161.4444444,9,1453,35
Aco005022,LG07,no,no,yes,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,265.3333333,6,1592,50
Aco005037,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1220,1,1220,1220
Aco005040,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,PREDICTED: Glycine max thiosulfate/3-mercaptopyruvate sulfurtransferase 2-like (LOC100798053)_ mRNA,,,NA,152.75,12,1833,58
Aco005041,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1991,1,1991,1991
Aco005042,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,178.1666667,6,1069,82
Aco005047,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,2012,1,2012,2012
Aco005049,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1700,1,1700,1700
Aco005054,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,229.75,8,1838,22
Aco005055,LG07,NA,NA,NA,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,318,2,636,220
Aco005078,LG07,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,270,6,1620,56
Aco005083,LG07,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,220.3333333,6,1322,44
Aco005101,LG07,no,yes,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,468.5,6,2811,70
Aco005103,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1271,1,1271,1271
Aco005104,LG07,yes,no,no,NA,NA,NA,6533,,,,,,,,,NA,NA,,,NA,172.2,10,1722,55
Aco005108,LG07,no,yes,no,NA,NA,NA,NA,,,,,,,yes,,NA,NA,,yes,09_Circadian_clock,272,3,816,120
Aco005109,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,453.75,4,1815,43
Aco005110,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1220,1,1220,1220
Aco005112,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,318,4,1272,197
Aco005118,LG07,yes,no,no,NA,NA,NA,6439,,,,,,,,,NA,NA,,,NA,210.8,5,1054,86
Aco005119,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,448.25,4,1793,188
Aco005125,LG07,yes,no,no,NA,NA,NA,5866,,,,,,,,,NA,NA,,,NA,120.9090909,11,1330,4
Aco005127,LG07,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,391.3333333,6,2348,56
Aco005134,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,462.6666667,3,1388,150
Aco005140,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,425,3,1275,310
Aco005155,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1937,1,1937,1937
Aco005164,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,135.6666667,12,1628,41
Aco005168,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,433.75,4,1735,131
Aco005173,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,345.5,4,1382,134
Aco005209,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,Glycine max RNA polymerase II-associated protein 3-like (LOC100790717)_ mRNA,,,NA,167.4444444,9,1507,50
Aco005229,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,390,3,1170,302
Aco005233,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,596.25,4,2385,111
Aco005239,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,ALB_F_anthocyanidin 3-O-glucosyltransferase,NA,,,NA,1433,1,1433,1433
Aco005251,LG07,yes,no,no,NA,yes,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,219.875,8,1759,61
Aco005262,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,605.5,2,1211,395
Aco005283,LG07,no,yes,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,729,4,2916,125
Aco005287,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,556.3333333,3,1669,385
Aco005291,LG07,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,276.2857143,7,1934,145
Aco005343,LG11,no,no,yes,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,279.3529412,17,4749,6
Aco005353,LG11,yes,no,no,NA,NA,NA,5721,,,,,,,,,NA,NA,,,NA,337.1666667,6,2023,69
Aco005354,LG11,NA,NA,NA,NA,yes,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,800,2,1600,728
Aco005358,LG11,no,yes,no,yes,NA,NA,NA,,,,,,,,yes,NA,NA,,,05_Chloroplasts_activity,584,2,1168,415
Aco005359,LG11,no,yes,no,yes,NA,NA,NA,,,,,,,,yes,NA,NA,,,05_Chloroplasts_activity,660,2,1320,495
Aco005366,LG11,no,yes,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,566.25,8,4530,65
Aco005373,LG11,no,yes,no,NA,NA,NA,NA,,,,yes,,,,,NA,NA,,,06_Drough_resistance_genes_LEA,246.5,4,986,109
Aco005379,LG11,no,yes,no,NA,NA,NA,NA,,,,,,,yes,,NA,NA,,,00_#W_HexoseTransporter_GLUT6/8-like_transporter,116.16,25,2904,16
Aco005384,LG11,yes,no,no,NA,NA,NA,5271,,,,,,,,,NA,NA,,,NA,160.5714286,7,1124,45
Aco005385,LG11,yes,no,no,NA,NA,NA,6026,,,,,,,,,NA,NA,,,NA,136,9,1224,38
Aco005390,LG11,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,2282,1,2282,2282
Aco005393,LG11,no,yes,no,NA,NA,NA,NA,,,,,,,,,ALB_F_anthocyanin 3 -o-beta-glucosyltransferase,NA,,,NA,729.5,6,4377,39
Aco005397,LG11,yes,no,no,NA,NA,NA,NA,,,,,,,,,ALB_F_dihydroflavonol 4-reductase,NA,,,NA,288,5,1440,153
Aco005399,LG11,yes,no,no,NA,yes,NA,NA,,,,,,,,,NA,NA,,,NA,926,1,926,926
Aco005402,LG11,no,yes,no,NA,NA,NA,NA,,,,,,,,yes,NA,NA,,,00_##06_carbonic_anhydrase,144.75,8,1158,48
Aco005409,LG11,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,866,2,1732,401
Aco005439,LG11,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,508.3333333,3,1525,223
Aco005444,LG11,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,455,3,1365,321
Aco005457,LG11,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1235,1,1235,1235
Aco005478,LG11,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,203.5,6,1221,111
Aco005505,LG11,no,no,yes,NA,yes,NA,NA,,,,,,,,,NA,NA,,,NA,134.1578947,19,2549,48
Aco005508,LG11,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,339.75,4,1359,127
Aco005513,LG11,NA,NA,NA,yes,NA,NA,NA,,yes,,,,,,,NA,NA,,,01b_Abscisic_acid_signal,565.5,2,1131,476
Aco005520,LG11,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,455.3333333,3,1366,128
Aco005552,LG11,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,256.5,6,1539,139
Aco005561,LG11,yes,no,no,NA,NA,NA,NA,,,,yes,,,,,NA,NA,,,06_Drough_resistance_genes_LEA,710,1,710,710
Aco005562,LG11,no,yes,no,NA,NA,NA,NA,,,,,,,,,ALB_L_anthocyanidin 3-O-glucosyltransferase,NA,,,NA,1481,1,1481,1481
Aco005564,LG11,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,ALB_F_isoflavone reductase,NA,,,NA,160,6,960,18
Aco005567,LG11,NA,NA,NA,NA,NA,NA,NA,,,,yes,,,,,NA,NA,,,06_Drough_resistance_genes_LEA,81.5,4,326,23
Aco005570,LG11,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1952,1,1952,1952
Aco005587,LG11,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,381,3,1143,152
Aco005599,LG11,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,2074,2,4148,611
Aco005614,LG11,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,389,3,1167,225
Aco005616,LG11,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,216,8,1728,116
Aco005623,LG11,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,597.5,4,2390,119
Aco005631,LG11,no,yes,no,NA,NA,NA,NA,yes,,,,,,,,NA,PREDICTED: Beta vulgaris subsp. vulgaris NADP-dependent malic enzyme (LOC104883143)_ mRNA,,,00_#33_Malic_enzyme,113.125,16,1810,47
Aco005646,LG11,no,no,yes,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,11_Glycolysis_night_C4_malate_pathway,139.2,15,2088,39
Aco005654,LG11,no,yes,no,NA,NA,NA,6958,,,,,,,,,NA,NA,,,NA,151.5,8,1212,82
Aco005657,LG11,no,yes,no,NA,NA,yes,NA,,,,,,,,,NA,NA,,,NA,537.5,2,1075,427
Aco005667,LG11,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,567.5,2,1135,279
Aco005669,LG11,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,462,3,1386,267
Aco005671,LG11,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,599,2,1198,503
Aco005673,LG11,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,717.5,2,1435,570
Aco005684,LG11,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,390.6666667,3,1172,129
Aco005715,LG11,yes,no,no,yes,NA,NA,NA,,,,,,,,yes,NA,NA,,,03_VATPase,167.9,10,1679,48
Aco005746,LG11,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,2411,1,2411,2411
Aco005794,LG11,yes,no,no,NA,NA,NA,6488,,,,,,,,,NA,NA,,,NA,199.9,10,1999,32
Aco005821,LG16,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,439,5,2195,231
Aco005826,LG16,no,yes,no,NA,NA,NA,NA,,,,yes,,,,,NA,NA,,,06_Drough_resistance_genes_LEA,373,3,1119,182
Aco005867,LG16,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,125.6666667,12,1508,52
Aco005868,LG16,yes,no,no,NA,NA,NA,NA,,,,yes,,,,,NA,NA,,,06_Drough_resistance_genes_LEA,794,1,794,794
Aco005891,LG16,yes,no,no,NA,NA,NA,5554,,,,,,,,,NA,NA,,,NA,183.9,10,1839,39
Aco005908,LG16,no,yes,no,NA,NA,NA,NA,,,,,,,,yes,NA,NA,,,03_VATPase,160.1428571,7,1121,19
Aco005915,LG16,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,220.6666667,6,1324,67
Aco005930,LG16,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,11_Glycolysis_night_C4_malate_pathway,192.4444444,9,1732,61
Aco005931,LG16,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,11_Glycolysis_night_C4_malate_pathway,211.7777778,9,1906,61
Aco005947,LG16,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,585,2,1170,570
Aco005956,LG16,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,657.5,2,1315,451
Aco005968,LG16,no,no,yes,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,11_Glycolysis_night_C4_malate_pathway,149.2,15,2238,39
Aco005975,LG16,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,334.6,5,1673,134
Aco005989,LG16,no,yes,no,NA,NA,NA,NA,yes,,,,,,,,NA,PREDICTED: Beta vulgaris subsp. vulgaris NADP-dependent malic enzyme (LOC104883143)_ mRNA,,,00_#34_Malic_enzyme,86.52941176,17,1471,28
Aco005991,LG16,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,PREDICTED: Glycine max kinesin-4-like (LOC100777089)_ transcript variant X4_ mRNA,,,NA,174.0952381,21,3656,29
Aco006015,LG16,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,312.875,8,2503,186
Aco006030,LG16,no,yes,no,NA,yes,NA,5206,,,,,,,,,NA,NA,,,NA,282.5,4,1130,170
Aco006043,LG16,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,273.4545455,11,3008,116
Aco006056,LG16,yes,no,no,yes,NA,NA,NA,,,,yes,,,,,NA,NA,,,06_Drough_resistance_genes_LEA,451.5,2,903,386
Aco006063,LG16,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,11_Glycolysis_night_C4_malate_pathway,266.3333333,9,2397,31
Aco006064,LG16,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,11_Glycolysis_night_C4_malate_pathway,252.8,10,2528,31
Aco006068,LG16,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,194.0909091,11,2135,62
Aco006084,LG16,no,yes,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,626.3333333,3,1879,349
Aco006096,LG16,yes,no,no,yes,yes,NA,NA,,,,,,,,,NA,NA,,,NA,571,3,1713,406
Aco006122,LG16,no,yes,no,NA,NA,NA,NA,yes,,,,,,,,NA,NA,,,00_#17_Malate_dehydrogenase,229.1428571,7,1604,61
Aco006129,LG16,yes,no,no,NA,NA,NA,6933,,,,,,,,,NA,NA,,,NA,167.9090909,11,1847,64
Aco006140,LG16,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,2138,1,2138,2138
Aco006144,LG16,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,PREDICTED: Beta vulgaris subsp. vulgaris sodium/pyruvate cotransporter BASS2_ chloroplastic (LOC104902128)_ mRNA,,,NA,130.3846154,13,1695,41
Aco006150,LG16,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1136,1,1136,1136
Aco006157,LG16,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,384.5714286,7,2692,123
Aco006164,LG16,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1325,1,1325,1325
Aco006172,LG16,yes,no,no,NA,yes,NA,7141,,,,,,,,,NA,NA,,,NA,405.6666667,3,1217,164
Aco006181,LG16,yes,no,no,NA,NA,NA,NA,yes,,,,,,,,NA,PREDICTED: Beta vulgaris subsp. vulgaris carbonic anhydrase_ chloroplastic-like (LOC104902037)_ mRNA,,,00_##05_carbonic_anhydrase,146.25,8,1170,48
Aco006186,LG16,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,239.1666667,6,1435,122
Aco006199,LG16,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,PREDICTED: Beta vulgaris subsp. vulgaris glucose-1-phosphate adenylyltransferase large subunit 3_ chloroplastic/amyloplastic (LOC104883901)_ transcript variant X1_ mRNA,yes,,10_Glucogenesis_specific_dayC3,134.0625,16,2145,55
Aco006225,LG16,yes,no,no,NA,NA,NA,6883,,,,,,,,,NA,NA,,,NA,154.1428571,7,1079,60
Aco006227,LG16,yes,no,no,NA,NA,NA,5943,,,,,,,,,NA,NA,,,NA,211.5,14,2961,54
Aco006252,LG14,no,yes,no,NA,NA,NA,6667,,,,,,,,,NA,NA,,,NA,163,3,489,55
Aco006253,LG14,no,no,yes,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,656.3333333,3,1969,356
Aco006280,LG14,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1055,2,2110,160
Aco006311,LG14,yes,no,no,NA,NA,NA,5821,,,,,,,,,NA,NA,,,NA,184.6666667,6,1108,39
Aco006312,LG14,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1508,1,1508,1508
Aco006319,LG14,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,436.6666667,6,2620,139
Aco006345,LG14,yes,no,no,NA,yes,NA,NA,,,,,,,,,NA,NA,,,NA,226,14,3164,119
Aco006349,LG14,no,no,yes,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,185.4666667,15,2782,77
Aco006380,LG14,yes,no,no,NA,NA,NA,5200,,,,,,,,,NA,NA,,,NA,264.8,5,1324,104
Aco006394,LG14,no,yes,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,578.5,2,1157,349
Aco006403,LG14,yes,no,no,NA,NA,NA,5870,,,,,,,,,NA,NA,,,NA,122.4545455,11,1347,18
Aco006406,LG14,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,284.5,10,2845,41
Aco006409,LG14,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,2159,1,2159,2159
Aco006416,LG14,yes,no,no,NA,NA,NA,4951,,,,,,,,,NA,NA,,,NA,543.5,2,1087,339
Aco006436,LG14,no,yes,no,NA,yes,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,155,9,1395,12
Aco006438,LG14,no,yes,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,626,1,626,626
Aco006440,LG14,yes,no,no,NA,NA,NA,5950,,,,,,,,,NA,NA,,,NA,167.25,8,1338,68
Aco006453,LG14,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,PREDICTED: Beta vulgaris subsp. vulgaris adenylate kinase 5_ chloroplastic (LOC104901827)_ transcript variant X1_ mRNA,,,NA,97,18,1746,6
Aco006461,LG14,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1118,1,1118,1118
Aco006467,LG14,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,219.4,5,1097,154
Aco006469,LG14,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,2582,1,2582,2582
Aco006470,LG14,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,392.75,4,1571,158
Aco006479,LG14,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,629,2,1258,409
Aco006487,LG14,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,597.3333333,3,1792,318
Aco006523,LG14,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1988,1,1988,1988
Aco006524,LG14,no,no,yes,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,154.7777778,18,2786,36
Aco006529,LG14,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1229,1,1229,1229
Aco006536,LG14,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,222.8333333,6,1337,123
Aco006540,LG14,yes,no,no,NA,NA,NA,6164,,,,,,,,,NA,NA,,,NA,374,2,748,333
Aco006549,LG14,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,738.5,2,1477,360
Aco006583,LG14,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,118.8461538,13,1545,24
Aco006586,LG14,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,11_Glycolysis_night_C4_malate_pathway,85.40909091,22,1879,18
Aco006591,LG14,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,2375,1,2375,2375
Aco006594,LG14,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,589,2,1178,449
Aco006606,LG14,no,no,yes,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,297.3333333,6,1784,77
Aco006629,LG01,yes,no,no,NA,NA,NA,6947,,,,,,,,,NA,NA,,,NA,256.6,10,2566,47
Aco006642,LG01,no,yes,no,NA,NA,NA,5899,,,,,,,,,NA,NA,,,NA,251.75,12,3021,99
Aco006659,LG01,yes,no,no,NA,NA,yes,NA,,,,,,,,,NA,NA,,,NA,1016,1,1016,1016
Aco006675,LG01,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1005.5,2,2011,968
Aco006679,LG01,yes,no,no,NA,NA,NA,6636,,,,,,,,,NA,NA,,,NA,208.4,5,1042,70
Aco006692,LG01,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,Populus trichocarpa hypothetical protein (POPTR_0001s35130g) mRNA_ complete cds,yes,,10_Glucogenesis_specific_dayC3,209,9,1881,68
Aco006693,LG01,yes,no,no,NA,yes,NA,5032,,,,,,,,,NA,NA,,,NA,140.6428571,14,1969,31
Aco006698,LG01,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,257.8,5,1289,129
Aco006711,LG01,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,847,3,2541,148
Aco006719,LG01,yes,no,no,NA,NA,NA,NA,,,,,,,,yes,NA,NA,,,04_Oxygen_evolving_enhancer_OEE,451.3333333,3,1354,293
Aco006733,LG01,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,230,7,1610,60
Aco006735,LG01,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,694.3333333,3,2083,200
Aco006741,LG01,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,PREDICTED: Beta vulgaris subsp. vulgaris aspartate aminotransferase_ cytoplasmic (LOC104906385)_ mRNA,,,NA,138.6666667,12,1664,61
Aco006754,LG01,yes,no,no,NA,NA,yes,NA,,,,,,,,,NA,NA,,,NA,142.75,4,571,80
Aco006755,LG01,yes,no,no,NA,NA,NA,NA,,,,,,yes,,,NA,NA,,,NA,635,2,1270,210
Aco006769,LG01,yes,no,no,NA,NA,NA,NA,,,,,,yes,,,ALB_L_dihydroflavonol 4-reductase,NA,,,00_#Ming2019_Anthocyanin_biosynthesis,226.5,6,1359,125
Aco006847,LG01,no,yes,no,NA,NA,NA,NA,,,,yes,,,,,NA,NA,,,06_Drough_resistance_genes_LEA,185,2,370,3
Aco006861,LG22,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,901.5,2,1803,356
Aco006874,LG22,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,201,7,1407,118
Aco006886,LG22,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1229,1,1229,1229
Aco006923,LG22,no,yes,no,NA,NA,NA,NA,,,,yes,,,,,NA,NA,,,06_Drough_resistance_genes_LEA,225.6666667,3,677,113
Aco006939,LG22,yes,no,no,NA,NA,NA,6875,,,,,,,,,NA,NA,,,NA,1475,1,1475,1475
Aco006949,LG22,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,617.25,4,2469,169
Aco006978,LG22,no,yes,no,NA,NA,yes,NA,,,,,,,,,NA,NA,,,NA,189.3076923,13,2461,42
Aco006993,LG22,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,615.3333333,3,1846,396
Aco007014,LG23,no,yes,no,yes,yes,NA,NA,,,,,,,,,NA,NA,,,NA,282.8333333,12,3394,43
Aco007033,LG23,yes,no,no,NA,NA,NA,NA,,,,,,,,yes,NA,NA,,,03_VATPase,173.4117647,17,2948,44
